Gene_Symbol	Zero_Count
0610012G03Rik	0
0610038B21Rik	0
0610039K10Rik	0
1110006O24Rik	0
1110025L11Rik	0
1110032F04Rik	0
1500015A07Rik	0
1600012H06Rik	0
1600023N17Rik	0
1700001G17Rik	0
1700001J11Rik	0
1700008J07Rik	0
1700012L04Rik	0
1700018B24Rik	0
1700018L02Rik	0
1700019M22Rik	0
1700019O17Rik	0
1700020D05Rik	0
1700024P04Rik	0
1700028B04Rik	0
1700029P11Rik	0
1700034I23Rik	0
1700049L16Rik	0
1700052K11Rik	0
1700056E22Rik	0
1700071K01Rik	0
1700073E17Rik	0
1700084E18Rik	0
1700084J12Rik	0
1700096K18Rik	0
1700105P06Rik	0
1700106J16Rik	0
1700120K04Rik	0
1700123L14Rik	0
1810011O10Rik	0
2010320M18Rik	0
2210409E12Rik	0
2300003K06Rik	0
2310001K24Rik	0
2310034C09Rik	0
2310034G01Rik	0
2310039H08Rik	0
2310047M10Rik	0
2310057N15Rik	0
2310061J03Rik	0
2310061N02Rik	0
2310068J16Rik	0
2310079G19Rik	0
2410012M07Rik	0
2410016O06Rik	0
2610306M01Rik	0
2810013P06Rik	0
2810405F15Rik	0
2810454H06Rik	0
2900005J15Rik	0
2900055J20Rik	0
2900060B14Rik	0
2900092D14Rik	0
2900097C17Rik	0
3000002C10Rik	0
3110021A11Rik	0
3110070M22Rik	0
4632415L05Rik	0
4831440E17Rik	0
4921501E09Rik	0
4921511C20Rik	0
4921533I20Rik	0
4930402K13Rik	0
4930413G21Rik	0
4930414L22Rik	0
4930426L09Rik	0
4930429B21Rik	0
4930444G20Rik	0
4930448K20Rik	0
4930465K10Rik	0
4930480E11Rik	0
4930488L21Rik	0
4930503H13Rik	0
4930507D05Rik	0
4930515G01Rik	0
4930515G16Rik	0
4930519F09Rik	0
4930528A17Rik	0
4930529C04Rik	0
4930544G11Rik	0
4930557A04Rik	0
4930563D23Rik	0
4930563E22Rik	0
4930564C03Rik	0
4930567H17Rik	0
4930571K23Rik	0
4930577N17Rik	0
4930579K19Rik	0
4930594C11Rik	0
4931406H21Rik	0
4931417E11Rik	0
4931431F19Rik	0
4931440F15Rik	0
4932411N23Rik	0
4932416H05Rik	0
4932416K20Rik	0
4933401B06Rik	0
4933405O20Rik	0
